lyrics,label
"জনস্রোত By Warfaze
সবাই বলে, আর তুমিও বলো
আর তুমি কি বলো, আর তুমি কি বলো, বলো?
যে পথ জনস্রোত করেছে অবরোধ
সেই পথ এখনও কি লাগছে ভালো?
কি লাগছে ভাল, বলো?

অবশেষ আর ভাবিনা, ভেঙে সীমানা, দেখি অজানা প্রান্তর
মেঠো পথ এঁকে চলেছি, ভয় ভুলেছি, গত হচ্ছে না মন্থর
আঁধার এর সাথে সন্ধি, নই বন্দী, নয় ক্লান্ত এ অন্তর
এইখান থেকে ফিরবার, পিছু হটবার, কোন প্রশ্ন অবান্তর।

সেই আমারই দেখা চাইলে, আমার খোঁজে ব্যস্ত হলে
জনাকীর্ণ পথের নিরাপত্তার মায়া একটু ভোলো।

প্রতিবাদে দিন গুনেছি আর শুনেছি অই রাবণের হুংকার
একটুও বুক কাঁপেনি, ঘাড়ে চাপেনি, তোষামোদের নমস্কার
কুয়োতেই ওরা বড়ো হোক, আর জড়ো হোক, হাতে চাতুর্য সম্ভার
অসীমের পথে চলবো, আর বলবো এই আমার অহংকার।",0
"প্রজন্ম-২০১২ By Warfaze
না শুনি তোমার কানে
না তাকাই তোমার পানে
না দেখি তোমার চোখে
চোখ রাঙিয়ে তাকাও কেন তুমি
হাঁটিনা আমি তোমার পথে
সখ্যতা নেই তোমার সাথে
না চলি তোমার মত
সমস্যা তোমার আমার তো নয়

গড়বো নতুন সমাজ, নেই ভেদাভেদ যেখানে
পিছে ফেলে সকল অনিয়ম, যে সমাকে সবাই সমান

জানো তোমার দিন হবে শেষ
তবুই তোমার এই বিদ্বেষ
না পারো দিতে মর্যাদা
নতুন চিন্তা আহবানে
হতে পারে ভিন্ন মোদের ভুবন চালচলন
হতে পারে ভিন্ন মোদের কথোপকথন
ভিন্ন মোদের চিন্তা-ভাবনা, ভিন্ন মোদের মন
তাই বলে মানবো নাতো কটাক্ষ সারাক্ষণ
আমরা নতুন প্রজন্ম গড়বো নতুন সমাজ
জেগে ওঠো নবীনেরা যুদ্ধ শুরু আজ
আমরা নতুন প্রজন্ম আনবো সংস্কার
আমরা নতুন প্রজন্ম ভাঙবো কুসংস্কার

বাঁকা হাসি তোমার চোখে, শঙ্কিত মোদের দেখে
ছিলে অটল তোমার যুক্তিতে, আজ কেন নড়েচড়ে তোমার মন।",0
"পূর্ণতা By Warfaze
সেদিন ভোরে, বুকের গভীরে
শুনেছি জমে থাকা নীল বেদনার ডাকে
এই শহরে ইটের পাহাড়ে, ছিলোনা কেউ যে দেওয়ার প্রেরনা
যন্ত্রে বাঁধা মন, ছিলো ক্লান্ত অসহায়
অর্থে কেনা সুখ, ম্রিয়মান দুঃখের ছায়ায়
আর নয় সময় উদ্দেশ্যহীন মিছিলে
তুমি সেই পূর্ণতা আমার অনুভবে
আর নয় আঁধার, তুমি স্বপ্নে ডেকে নিলে
ভরে মন অন্তহীন রঙিন এক উৎসবে
আজকে শুনি আনন্দধ্বনি,
পৃথিবী ভরেছে সুখে বেঁচে থাকার মায়ায়
শূণ্য আশার জীবন্ত ভাষায়, অদূরে দেখেছি প্রানের মোহনা।",1
"রূপকথা By Warfaze
শক্তি দাও বিধাতা, অনন্তকাল ধরে জ্বলছে হৃদয়
হয়তো কেউ বোঝেনা কত সত্য প্রণয়
এসেছিলে বাঁচাতে আমায়, ভরে দিলে নতুন আশায়
রূপকথার মত
ভালবাসা কত যে সুন্দর, বুঝে তোমারই কাছ থেকে
স্বর্গেরই প্রতিরূপ
বলেছিলে খুঁজনা আমায় আমি যদি কভু হারিয়ে যাই
যেতে দিও আমায়
এলো সেদিন, তুমি হারিয়ে গেলে
মনে এলো, বলেছিলে তুমি হারিয়ে যাবে সে
শক্তি দাও বিধাতা, অনন্তকাল ধরে জ্বলছে হৃদয়
কষ্ট আর বুঝিনা, স্বপ্নটা বাঁচিয়ে রেখেছে
ব্যার্থ আমি হবোনা, তুমি যে আমার স্বত্তাসঙ্গিনী
শান্তিগুলো সব আমার তোমার হৃদয় মাঝে।

মোরা কেঁদেছি একই দুঃখে, হেসেছি একই সুখে
কখনো ভাবিনি তুমি চলে যাবে
এভাবে রেখে আমায় একাকী।

আজও খুঁজে ফিরি নগরে-পল্লীতে
খুঁজে তোমায় পেতেই হবে, অস্তিত্ব তুমি আমার
যদি কেউ শোন এ গান আমার
যদি কেউ খুঁজে পাও ওকে, শুনিও এই গান

আমি খুঁজেছি তোমায় আজও পাহাড় চূড়াতে
সাগরের নীল অতলে, তবু কেন তোমায় খুঁজে পাইনা
রূপকথার সমাপ্তি হয়, হয় না তো সুখের বাসরে, দুঃখ আমারই।
",1
"না By Warfaze
আর চার দেয়ালে কেন একা ডূবে থাকা
এই বর্তমানকে দূরে ঠেলে অতীতের ছবি আঁকা
আর যত কারনে এই দ্বিধার বাড়াবাড়ি
জাগবেনা আর জীবন তোমার হলে সান্ধ্য আইন জারি
আর কেন হাত গুটিয়ে বসে থাকা
কিসেরই ভয়ে ভয়ে
আমি নেই কোন নিষিদ্ধ পরিচয়ে
মন যাকে দেবে সিদ্ধান্ত আজই নাও
যাবে এক নিমিষে ছন্দময় হয়ে
শুধু না না না না না বলে, কর না না আসলে।

না না না……কালজয়ী বাঁধনে আমি বন্দী হতে জানি
থাকবেনা আর তখন আমার মহাবিশ্বের হাতছানি
আর যদি এ মনবের পরিবর্তন হবে ভাবো
ভেবোনা আর না এ তোমার উৎসাহ হারাবো।",0
"আগামী By Warfaze
ধ্বংসের সীমানায়, স্বপ্নে সাজানো আঙিনায়
তুমি কি উন্নত শিরে দাঁড়িয়ে স্বাধীনতায়
বেদনা ভুলে যাই, যখনই তোমাদের খুঁজে পাই
রাহুমুক্ত করতে প্রতিজ্ঞ বন্দী চেতনা
শোষণের দেয়াল ভেঙে আলোকিত দিনের সূচনায়।

তুমি আশা আগামী, অশ্রু ধোয়া আগামী
দুঃখী মানুষের দেশে সুখের কাহিনী শোনাই
তুমি আশা আগামী, মোহিত স্বপ্নে আমি
সোনালী দিনের আশায় প্রতীক্ষার দৈর্ঘ বাড়াই
বেদনার ধূসর বালুচরে।

তুমি কি কেঁদেছ যখনই অপমান দেখেছ
যখনই এই বাংলা সয়েছে কালিমা অবহেলায়
পরাজয় মুছে যায় তোমার দৃপ্ত পদচারনায়
নির্মূল তুমি করবে সমাজ থেকে ঘৃণ্য লুটেরা
শোষিতের বিজয়ের কালে বিকশিত মনের কামনায়।

রাহুমুক্ত করতে প্রতিজ্ঞ বন্দি চেতনা
নির্মূল তুমি করবে সমাজ থেকে ঘৃণ্য লুটেরা
সংকীর্ণতা ভাঙলে এদেশ হবে ঋদ্ধ ঠিকানা
শোষনের দেয়াল ভেঙে আলোকিত দিনের সূচনায়। 
",0
"সাদা By Tahsan Feat. Minar
তুমি চাইলে বৃষ্টি, মেঘও ছিল রাজী
অপেক্ষা সুদূর বর্ষনের,
মাতাল হাওয়া বইছে, দূরে পাখি গাইছে গান
বৃষ্টি তোমার আহবান।।

সাদা রঙের স্বপ্ন গুলো দিল নাকো ছুটি
তাইতো আমি বসে একা,
ঘাসফুলেদের সাথে আমি একাই কথা বলি
ঘাসফুল গুলো সব ছন্নছাড়া।।

তুমি চাইলে জোছনা, স্বপ্নীল কোনো এক রাতে
আকাশটা ঘিরে প্রার্থনা,
চাঁদটা বলবে হেসে, জোছনা এলে শেষে
জানিও তোমার অভ্যর্থনা।।

সাদা রঙের স্বপ্ন গুলো দিল নাকো ছুটি
তাইতো আমি বসে একা,
ঘাসফুলেদের সাথে আমি একাই কথা বলি
ঘাসফুল গুলো সব ছন্নছাড়া।।",1
"আমি আজ ভেজাবো চোখ By Tutul
আমি আজ ভেজাবো চোখ সমুদ্র জলে
আমি আজ ভেজাবো চোখ সমুদ্র জলে
ও সমুদ্র ! কাছে আসো ,
আমাকে ভালোবাসো
আদরে লুকায়ে রাখো তোমার ওই অঞ্চলে. . .
আমি আজ ভেজাবো চোখ সমুদ্র জলে।

আহারে কি আকাশ!
কি তাহার দীর্ঘশ্বাস!
আহারে কি আকাশ!
কি তাহার দীর্ঘশ্বাস!
মিশিতেছে কি নিবিড় সমুদ্র কল্লোলে।
ও সমুদ্র ! কাছে আসো ,
আমাকে ভালোবাসো
আদরে লুকায়ে রাখো তোমার ওই অঞ্চলে. . .
আমি আজ ভেজাবো চোখ সমুদ্র জলে।

আয় ঢেউ আয় ঢেউ
প্রবল প্রবল ঢেউ
রুদ্র ভৈরবী আয় ছুটে আয়
আজ থেকে আমি আছি তোর সীমানায়!

সন্ধ্যার শেষ আলো
যখন হইবে কালো
সন্ধ্যার শেষ আলো
যখন হইবে কালো,
তখন সাগর পক্ষী উড়ে যাবে স্থলে. . .
ও সমুদ্র ! কাছে আসো ,
আমাকে ভালোবাসো
আদরে লুকায়ে রাখো তোমার ওই অঞ্চলে. . .
আমি আজ ভেজাবো চোখ সমুদ্র জলে।",1
"কাটাতারে বাধা by PNF Band
আর কত আমাকে
ভুল দৃশ্য দেখাবে
ভুলের ভয়াল ধোয়াশায়
বোবা স্বপ্ন খোয়া যায়
ধরতে পারিনা আশ্রয়
গিলতে পারিনা কান্না
সময় শেকল হয়ে জড়ায় দুপায়ে...
মগজে- কাটাতারে
এখন বাজায় আমারে...

শিকলে
বাধা আছে ইচ্ছে যত
শিকলে
ঢাকা আছে রক্ত ক্ষত
শিকলে
বাধা তুমিও আমার মতো
শিকলে
ক্রিতদাসের দলে।।

আর কত আমাকে
সব মিথ্যে শেখাবে
মিথ্যে মাটিতে গাথা কানে
হেরে যাওয়ার কথা শুনে
গ্রেনেড আমার দুচোখে
এসিড পোড়া বুকে
আমিই বোমার মতো যাই ফেটে
আমার বিস্ফোরনে
প্রেতের আস্ফালনে...",1
"রাজকন্যা By Studio58 & Singers
রাজকুমারী দু’একটা কথা বলি
বারান্দাটা ছেড়ে যেওনা
ভালবাসি নিজের থেকে বেশি
একটু খানি দাড়াও না

আমি যে সারাদিন
হয়ে যাই আনমনা
চিৎকার করে বলি
হাত দু’টি ধরে তোমার
তুমি আমার রাজকন্যা

O my princess
দু’একটা কথা বলি
ফোনটা রেখে দিও না
Exam hall -এ তোমাকে চিন্তা করি
একটু কথা বলোনা

চোখ দু’টো ভোরবেলার শিশির
চুলগুলো মেঘলা দিন
দেখলে পরে আমি সত্যি বলছি
হয়ে যাই ভাবলেশহীন",0
